fecha,procedencia,personas
2022-04-23,Polonia,36
2022-04-23,R. Eslovaca,0
2022-04-23,España,2
2022-04-23,Italia,5
2022-04-24,Estonia-Letonia-Lituania,4
2022-04-24,Francia,13
2022-04-24,Alemania,18
2022-04-24,R. Checa,6
2022-04-24,España,15
2022-04-24,Austria,2
2022-04-24,Rusia,0
2022-04-24,Residente,19
2022-04-24,América del Sur,0
2022-04-24,Gran Bretaña,0
2022-04-24,Italia,5
2022-04-24,África,0
2022-04-24,Asia y Oriente Próx.,0
2022-04-24,América del Norte,0
2022-04-24,Europa,9
2022-04-24,R. Eslovaca,0
2022-04-24,Oceanía,0
2022-04-24,Polonia,15
2022-04-30,R. Checa,1
2022-04-30,Europa,0
2022-04-30,América del Norte,1
2022-04-30,Gran Bretaña,0
2022-04-30,Polonia,25
2022-04-30,América del Sur,0
2022-04-30,África,0
2022-04-30,Asia y Oriente Próx.,0
2022-04-30,España,35
2022-04-30,R. Eslovaca,5
2022-04-30,Alemania,21
2022-04-30,Francia,4
2022-04-30,Estonia-Letonia-Lituania,0
2022-04-30,Oceanía,0
2022-04-30,Residente,12
2022-04-30,Italia,0
2022-04-30,Rusia,0
2022-04-30,Austria,0
2022-05-01,África,0
2022-05-01,América del Sur,0
2022-05-01,Oceanía,0
2022-05-01,América del Norte,2
2022-05-01,R. Eslovaca,4
2022-05-01,España,9
